"disease","age_group","mean","lo_95","hi_95","lo_80","hi_80"
"Eye & Appendage Diseases","25-34",-1.63502446210182,-1.66951221611029,-1.60019794420824,-1.65772827287829,-1.61200555875063
"Eye & Appendage Diseases","35-44",-1.33825358872317,-1.37333051901075,-1.30411817399476,-1.36091451373172,-1.31585039158653
"Eye & Appendage Diseases","45-54",-0.720572604182453,-0.754619183172524,-0.686557237031756,-0.742819269096559,-0.698333829554461
"Eye & Appendage Diseases","55-64",0.174665565663371,0.142628051228549,0.206793617282357,0.153637210281163,0.195429714197919
"Eye & Appendage Diseases","65-74",1.03038051078429,0.998564287119644,1.06231523057036,1.00910296597548,1.05145195359597
"Eye & Appendage Diseases","75-89",1.43297562272803,1.40118047407608,1.46563131011436,1.41186342549636,1.454210114698
"Eye & Appendage Diseases","90+",1.05582895583176,1.02207493468118,1.09029953522147,1.03401339085593,1.07799834273624
"Glaucoma","25-34",-2.15410269995079,-2.21285046934242,-2.09555833836066,-2.19241666961632,-2.11613301909404
"Glaucoma","35-44",-1.50605664090658,-1.55548366211521,-1.45621948889619,-1.53796502946237,-1.47343317706009
"Glaucoma","45-54",-0.564593561249042,-0.606550148742609,-0.523739907269692,-0.591684609337622,-0.538084620297361
"Glaucoma","55-64",0.381332607471713,0.344178462516117,0.418294859241691,0.356849256557276,0.405987418873249
"Glaucoma","65-74",1.19790432365294,1.1616398888421,1.23395187790724,1.17433254749121,1.22166941523329
"Glaucoma","75-89",1.55177295413119,1.51514913265391,1.5880475842862,1.52781765748734,1.57574630654697
"Glaucoma","90+",1.09374301685056,1.0494320741232,1.13799124118227,1.0649480397248,1.12226757926578
"Retinopathy","25-34",-1.81340515780534,-1.83873648484389,-1.78734553476343,-1.83008598551857,-1.79663524812207
"Retinopathy","35-44",-1.25484377048421,-1.27923272950542,-1.23076373887114,-1.27068253898987,-1.23928190976992
"Retinopathy","45-54",-0.402116768542542,-0.424182212228423,-0.380085856309688,-0.416590636343716,-0.387526136589832
"Retinopathy","55-64",0.576848964867604,0.55509527428376,0.598336092097843,0.562801537608853,0.590984218062635
"Retinopathy","65-74",1.13864524500854,1.11751566429181,1.15996204575385,1.12484420706908,1.15243298045234
"Retinopathy","75-89",1.19138386682938,1.16963975873927,1.21332906563284,1.17718968137538,1.2054723935104
"Retinopathy","90+",0.563487620126569,0.537595205131875,0.59027547466674,0.546164875783602,0.580768906847399
