"disease","region","mean","sd","lo_95","hi_95","lo_80","hi_80","region_within"
"Eye & Appendage Diseases","North",-7.56686347624849,0.0651957478071309,-7.69189379388692,-7.43751304990903,-7.65021787249783,-7.48295131293945,"North"
"Eye & Appendage Diseases","Northeast",-7.56164743457135,0.0487369076102546,-7.65583540936723,-7.46475916851189,-7.62342883924225,-7.49970409842249,"Northeast"
"Eye & Appendage Diseases","South",-7.13269416692247,0.07042013243086,-7.26816836115871,-6.99397544060544,-7.2235744799678,-7.04324826166605,"South"
"Eye & Appendage Diseases","Center-West",-7.08435608380929,0.0656949990892395,-7.21290444954094,-6.95403412172321,-7.16805616155158,-7.00019424494489,"Center-West"
"Eye & Appendage Diseases","Southeast",-6.67867460758012,0.0716794358424252,-6.8142617868343,-6.53669767007452,-6.77080210724348,-6.58593725167323,"Southeast"
"Glaucoma","North",-11.73395296628,0.141088818889571,-12.0214036495025,-11.4673401394603,-11.9121371544513,-11.5537510023627,"North"
"Glaucoma","Northeast",-11.248422928797,0.0733598456219685,-11.394945961408,-11.107609604366,-11.3431987980546,-11.1552431310932,"Northeast"
"Glaucoma","Center-West",-10.5331905005591,0.0989398973565826,-10.7289839124499,-10.3408982157176,-10.6605883114339,-10.4067251819735,"Center-West"
"Glaucoma","South",-10.4194382622786,0.0713126118975697,-10.5576219892566,-10.2784071607069,-10.5099816327569,-10.3280458372292,"South"
"Glaucoma","Southeast",-10.0672527103724,0.0606190920579315,-10.1834678168859,-9.94688087680189,-10.144580032654,-9.99035283461525,"Southeast"
"Retinopathy","North",-9.22832535025027,0.0561219944465431,-9.33972008881136,-9.11764095543678,-9.30057321450815,-9.15650239231698,"North"
"Retinopathy","Northeast",-8.60589862010355,0.0300704410344029,-8.66392185100702,-8.54714312115214,-8.64513946960675,-8.56691419534926,"Northeast"
"Retinopathy","Southeast",-8.37822371152516,0.0426648796703896,-8.45881604292016,-8.29343257554915,-8.43271502811756,-8.32285792232834,"Southeast"
"Retinopathy","Center-West",-8.33525584775035,0.0437543281478873,-8.42078188778761,-8.24903952934264,-8.39089515160245,-8.27937440973551,"Center-West"
"Retinopathy","South",-7.91674482787298,0.0417050287695447,-7.9985903238638,-7.83421163592099,-7.96989808874694,-7.86301472726589,"South"
