"state","region","mean","sd","lo_95","hi_95","lo_80","hi_80","disease","state_within"
"AP","North",-9.17615777349929,0.188639205125883,-9.55531659514039,-8.80328757767842,-9.41523837757366,-8.9337093922868,"Eye & Appendage Diseases","AP"
"RR","North",-9.09217149821082,0.194082716414071,-9.4754461498562,-8.72530417664187,-9.34327260160545,-8.84511030593793,"Eye & Appendage Diseases","RR"
"TO","North",-8.46201520041802,0.139756639344542,-8.73308645897382,-8.18343450046233,-8.63961002820524,-8.27889888924819,"Eye & Appendage Diseases","TO"
"AC","North",-8.44139946681561,0.147779112443111,-8.72331800507978,-8.15370227601232,-8.62883831389112,-8.25014974844373,"Eye & Appendage Diseases","AC"
"CE","Northeast",-8.32055258445076,0.120074122812272,-8.54752956655342,-8.08364651471918,-8.47404535071927,-8.16727250446375,"Eye & Appendage Diseases","CE"
"MT","Center-West",-8.30204668220486,0.123335481747886,-8.53636148996933,-8.0591995591929,-8.45932551033857,-8.14225310173326,"Eye & Appendage Diseases","MT"
"PI","Northeast",-8.15366081170675,0.131253961841185,-8.40469596165238,-7.89566419272584,-8.320995794425,-7.98419032872209,"Eye & Appendage Diseases","PI"
"PB","Northeast",-8.09955483025336,0.127132477590555,-8.34454620726252,-7.84537931259558,-8.26024245424468,-7.93677524696521,"Eye & Appendage Diseases","PB"
"SE","Northeast",-8.04184920893922,0.12732527453587,-8.28659797544573,-7.78856203187365,-8.20694375036804,-7.87649424446481,"Eye & Appendage Diseases","SE"
"AL","Northeast",-7.76456924216649,0.124172515949843,-8.00278165321667,-7.51259525882656,-7.92152622580059,-7.60285477122055,"Eye & Appendage Diseases","AL"
"MA","Northeast",-7.61975641975886,0.126097290877341,-7.8610056949782,-7.36629633801113,-7.77898964299401,-7.45710035421362,"Eye & Appendage Diseases","MA"
"AM","North",-7.55559283274302,0.122710602856912,-7.7889959395589,-7.31223978976527,-7.71224170807832,-7.39670815871463,"Eye & Appendage Diseases","AM"
"RO","North",-7.48605634470833,0.121889505818213,-7.7166009746269,-7.24192698894487,-7.63958647940582,-7.3298691409442,"Eye & Appendage Diseases","RO"
"RS","South",-7.42976305950096,0.122174677380988,-7.66357698500319,-7.18687782180793,-7.58618112329378,-7.27297479358592,"Eye & Appendage Diseases","RS"
"ES","Southeast",-7.28610132680113,0.122558624358908,-7.5177609282804,-7.03665767491735,-7.44383352362875,-7.12457966747389,"Eye & Appendage Diseases","ES"
"PE","Northeast",-7.25193473914246,0.11904913866271,-7.48169563238623,-7.01565040101792,-7.40133558984272,-7.09646106393232,"Eye & Appendage Diseases","PE"
"RN","Northeast",-7.12996036366852,0.122351378477902,-7.36232897129434,-6.88222215553941,-7.28499778360149,-6.97220357511055,"Eye & Appendage Diseases","RN"
"SC","South",-7.0881819340862,0.119743036034744,-7.31520544330056,-6.84807458981553,-7.23981727168198,-6.93243079860461,"Eye & Appendage Diseases","SC"
"PA","North",-7.05896431883805,0.118889534138924,-7.2850738184114,-6.82364063296922,-7.20977536303017,-6.9062592208329,"Eye & Appendage Diseases","PA"
"GO","Center-West",-6.98469945082568,0.121037232950448,-7.21575202882385,-6.74756476226681,-7.13699780178305,-6.82768054762663,"Eye & Appendage Diseases","GO"
"BA","Northeast",-6.97984665098797,0.122011456882958,-7.21105045408327,-6.73457009668314,-7.13655818237386,-6.82264765677411,"Eye & Appendage Diseases","BA"
"DF","Center-West",-6.88207348292763,0.122365557354145,-7.1116353497428,-6.6375184661544,-7.03853645657017,-6.72419897458443,"Eye & Appendage Diseases","DF"
"PR","South",-6.86191032761996,0.120979939866081,-7.09050326728147,-6.61882678609877,-7.01674605072163,-6.70384448861479,"Eye & Appendage Diseases","PR"
"MG","Southeast",-6.86141576271293,0.11846013909742,-7.08524764870901,-6.62685031957948,-7.01192554488078,-6.70752765939699,"Eye & Appendage Diseases","MG"
"RJ","Southeast",-6.73983977367504,0.118279719919231,-6.96377330117716,-6.50289515049053,-6.89131215032067,-6.58812628408652,"Eye & Appendage Diseases","RJ"
"SP","Southeast",-6.51875319287552,0.118352339752203,-6.73958966380698,-6.28120081732304,-6.67001821279263,-6.3656581084574,"Eye & Appendage Diseases","SP"
"MS","Center-West",-6.05720374013071,0.123089128834058,-6.2934194250909,-5.81490287535468,-6.21452581736775,-5.89722279475941,"Eye & Appendage Diseases","MS"
"RN","Northeast",-15.2410639023698,0.662827940601949,-16.6461705162127,-14.011324258297,-16.0912156277468,-14.4202339034875,"Glaucoma","RN"
"AP","North",-14.534378359192,1.0082727067866,-16.6836581746625,-12.7838322008851,-15.8785384911911,-13.2825421472056,"Glaucoma","AP"
"AM","North",-14.0903251237386,0.489201624729823,-15.0747649105071,-13.1885959752284,-14.7174487628729,-13.4737910437593,"Glaucoma","AM"
"SE","Northeast",-13.8131663252006,0.518700935548691,-14.9050589742253,-12.8826435432341,-14.4820235787502,-13.1666052757649,"Glaucoma","SE"
"AL","Northeast",-13.4970064205441,0.404821785779793,-14.3372481080975,-12.7330099930141,-14.0271657645838,-12.9942059233589,"Glaucoma","AL"
"MT","Center-West",-13.4679758596767,0.390731713714258,-14.2556342668695,-12.7350971762362,-13.9751411596184,-12.9763554746679,"Glaucoma","MT"
"ES","Southeast",-13.1695979958009,0.321611387508187,-13.8341647903659,-12.5672309595421,-13.5975931710072,-12.770113996141,"Glaucoma","ES"
"RR","North",-13.0061416694179,0.801372793078134,-14.6894894549296,-11.5578699287459,-14.0564774540743,-12.0073074461116,"Glaucoma","RR"
"MA","Northeast",-12.7208344747717,0.248761339745313,-13.2167265931356,-12.2505195386815,-13.0450045313799,-12.4074534770993,"Glaucoma","MA"
"RO","North",-12.643441489385,0.393198289906845,-13.4676783742887,-11.9150799207255,-13.1554100128299,-12.1490801828209,"Glaucoma","RO"
"AC","North",-12.60136627747,0.502870155336771,-13.6541705544074,-11.678094488285,-13.2633733250026,-11.9735160548077,"Glaucoma","AC"
"PB","Northeast",-12.4300434050083,0.257622407720087,-12.9391972005791,-11.9407734606887,-12.7686819169598,-12.1056153345396,"Glaucoma","PB"
"TO","North",-12.0123510112572,0.359374448797228,-12.7578891687143,-11.3386632765533,-12.4788757363677,-11.560491787886,"Glaucoma","TO"
"RS","South",-11.4824401667255,0.139512059110178,-11.7571171835691,-11.2140488883866,-11.661281332942,-11.3035811527298,"Glaucoma","RS"
"CE","Northeast",-10.94455487382,0.12675631429586,-11.1905761230983,-10.7009167656776,-11.1075192884621,-10.7809719632723,"Glaucoma","CE"
"PE","Northeast",-10.4971197240375,0.119053237981007,-10.7287864518404,-10.2609116075256,-10.6487833472014,-10.3466497349784,"Glaucoma","PE"
"PI","Northeast",-10.44984868425,0.149251142294295,-10.7506148278442,-10.1494531692449,-10.6408652377607,-10.2598875423574,"Glaucoma","PI"
"RJ","Southeast",-10.2161122348784,0.103664684218694,-10.4142010953503,-10.0121826501735,-10.3478857200129,-10.0832796761495,"Glaucoma","RJ"
"SP","Southeast",-10.0546926361291,0.0957226770457282,-10.2395480687736,-9.86074525059539,-10.1756546786575,-9.9310000350297,"Glaucoma","SP"
"MS","Center-West",-9.99171459569901,0.133020049584631,-10.2553824493417,-9.7317246179095,-10.160951767864,-9.82313015720085,"Glaucoma","MS"
"SC","South",-9.95202785972506,0.109790121801317,-10.1674403566512,-9.73263873817887,-10.0925548218823,-9.81037956264798,"Glaucoma","SC"
"DF","Center-West",-9.94552023897737,0.129934094224088,-10.1999492817298,-9.68775357474804,-10.1092166622351,-9.78194172984987,"Glaucoma","DF"
"PA","North",-9.92107088231809,0.11146030563075,-10.1336966068506,-9.70044859586526,-10.0631787290532,-9.77593779654644,"Glaucoma","PA"
"PR","South",-9.65085915784129,0.10252077868571,-9.84930541260218,-9.44801446261166,-9.78161895244708,-9.52048306918843,"Glaucoma","PR"
"GO","Center-West",-9.59549891622158,0.110127006143435,-9.80856985601855,-9.37648366779116,-9.73541351951973,-9.45499973968541,"Glaucoma","GO"
"MG","Southeast",-9.38789574586843,0.0922039728450349,-9.56444410945022,-9.20477562715812,-9.50456518185608,-9.26703106413474,"Glaucoma","MG"
"BA","Northeast",-9.26563092957919,0.0949199974124736,-9.44812669126604,-9.07413022214332,-9.38498548619506,-9.14209589989404,"Glaucoma","BA"
"RR","North",-12.9912977368583,0.628263991873264,-14.3188948040314,-11.8607878750352,-13.8185063198464,-12.1997291317979,"Retinopathy","RR"
"AC","North",-12.1817323141995,0.439700869349151,-13.108164575831,-11.3826397480011,-12.7507461291212,-11.6383633394408,"Retinopathy","AC"
"TO","North",-10.7516710938739,0.200258031541294,-11.1569241250184,-10.373770574464,-11.011562658065,-10.4951090444081,"Retinopathy","TO"
"AP","North",-10.4325358778757,0.248488587304874,-10.9344962859462,-9.96692538718659,-10.7507803254391,-10.1199851695288,"Retinopathy","AP"
"AM","North",-9.85272258843057,0.11283452992543,-10.0783258931096,-9.63630266612105,-9.99603351619297,-9.70958760582922,"Retinopathy","AM"
"PI","Northeast",-9.63865324149945,0.104239037255793,-9.84167356942345,-9.44077353008136,-9.77480361967194,-9.50498992749947,"Retinopathy","PI"
"CE","Northeast",-9.62952827038609,0.0853730175795502,-9.79145579896056,-9.46352629487445,-9.73828447092198,-9.51925408225205,"Retinopathy","CE"
"RO","North",-9.62417160024828,0.126532496810516,-9.8723330648035,-9.37630302746002,-9.7862784258049,-9.46297043156769,"Retinopathy","RO"
"MT","Center-West",-9.36283455791007,0.0942165012489029,-9.54333630075952,-9.17733414939424,-9.48287263818213,-9.2414210192609,"Retinopathy","MT"
"PB","Northeast",-9.04173642289367,0.0893642576615796,-9.21366949382939,-8.86449444290111,-9.15602063159036,-8.92392121941428,"Retinopathy","PB"
"ES","Southeast",-8.76671386506663,0.0815407735205384,-8.92443297742397,-8.60758288212836,-8.87114015140395,-8.66083088782173,"Retinopathy","ES"
"MA","Northeast",-8.65607846369881,0.0782098926777602,-8.81008218271055,-8.50174310693231,-8.75502344129066,-8.55599351450309,"Retinopathy","MA"
"AL","Northeast",-8.46715539142992,0.0832901966807041,-8.6298688626835,-8.30751808973213,-8.57369004625171,-8.36079771377421,"Retinopathy","AL"
"SP","Southeast",-8.43733627380966,0.0709410370114803,-8.5747597364924,-8.29760959983372,-8.52756981297968,-8.34560268178237,"Retinopathy","SP"
"MS","Center-West",-8.42958975798298,0.0824528684698418,-8.58760824034591,-8.26828889012077,-8.53426406036461,-8.32450972453255,"Retinopathy","MS"
"RJ","Southeast",-8.40527480275004,0.0711634168505432,-8.54333718879051,-8.26206717698071,-8.49527292050348,-8.31400497376496,"Retinopathy","RJ"
"PE","Northeast",-8.32257778732974,0.0728737230053905,-8.46281237522587,-8.17810432202605,-8.41451548208772,-8.22932562357978,"Retinopathy","PE"
"SE","Northeast",-8.29569139685282,0.085723802468526,-8.46137275238616,-8.12488466434036,-8.40633965195608,-8.18426293817428,"Retinopathy","SE"
"RN","Northeast",-8.24836196092352,0.0812291577818291,-8.40336035089239,-8.08862107907555,-8.35238404630686,-8.14145309025496,"Retinopathy","RN"
"RS","South",-8.18102975935794,0.071487851259558,-8.32093562889385,-8.04126016098829,-8.27347140344943,-8.08739234526816,"Retinopathy","RS"
"MG","Southeast",-8.1545746416154,0.0710339432915057,-8.29047452033717,-8.01324522969463,-8.2453564574589,-8.06430097761066,"Retinopathy","MG"
"GO","Center-West",-8.09891878376873,0.0759365464309244,-8.24756215024535,-7.94869914722777,-8.19632939726135,-8.0020442705302,"Retinopathy","GO"
"BA","Northeast",-7.95928364163019,0.0703737193288901,-8.09551855862767,-7.81917168487664,-8.04739929277054,-7.86799400015197,"Retinopathy","BA"
"PA","North",-7.86447809283974,0.0724453283178645,-8.00536210352776,-7.72099284512224,-7.95704178407092,-7.7712976601934,"Retinopathy","PA"
"SC","South",-7.77509385216147,0.0728221291951332,-7.91666134773395,-7.63180303601772,-7.86887134767129,-7.68140066690019,"Retinopathy","SC"
"PR","South",-7.74220418095345,0.0711668321613512,-7.8786893641135,-7.60197526556657,-7.83336892114906,-7.64942537492892,"Retinopathy","PR"
"DF","Center-West",-7.67471681507063,0.0750602800591162,-7.82149884490354,-7.52412064225095,-7.76894869672587,-7.57869561674883,"Retinopathy","DF"
