"Disease","Model","LOOIC","LOOIC_SE","WAIC","Log_ML","Max_Rhat","Min_ESS","Converged"
"Glaucoma","NB0","18098.7","221.3","18098.7","-9055.7","1.0013","6264","Yes"
"Glaucoma","NB1","14918.3","204.6","14918.2","-7891.4","1.0013","5519","Yes"
"Glaucoma","NB2","14874.2","204.6","14873.3","-7883.4","1.0017","2900","Yes"
"Glaucoma","NB3","14919.9","204.6","14919.8","-7882.8","1.0061","312","No"
"Glaucoma","NB4","14878.2","204.7","14877.1","-7541.7","1.3696","12","No"
"Glaucoma","NB5","14080.1","198.0","14074.7","-7228.8","1.0029","2564","Yes"
"Glaucoma","NB6","13998.4","198.3","13991.7","-7209.1","1.0031","2082","Yes"
"Glaucoma","NB7","14083.9","198.0","14078.5","-7219.4","1.0085","544","Yes"
"Glaucoma","NB8","14001.1","198.4","13994.2","-6859.1","1.2839","17","No"
"Retinopathy","NB0","29357.1","212.7","29357.1","-14684.2","1.0014","6652","Yes"
"Retinopathy","NB1","26123.7","222.4","26123.6","-13348.7","1.0017","4556","Yes"
"Retinopathy","NB2","26121.4","223.0","26121.1","-13372.1","1.0029","3722","Yes"
"Retinopathy","NB3","26125.6","222.4","26125.5","-13340.5","1.0105","401","No"
"Retinopathy","NB4","26121.7","222.9","26121.5","-13028.4","1.1901","20","No"
"Retinopathy","NB5","24942.6","222.0","24936.1","-12583.4","1.0029","2035","Yes"
"Retinopathy","NB6","24920.5","222.6","24912.8","-12603.4","1.0025","2330","Yes"
"Retinopathy","NB7","24942.7","222.1","24935.9","-12574.9","1.0115","492","No"
"Retinopathy","NB8","24924.0","222.7","24916.4","-12261.2","1.2603","19","No"
"Eye & Appendage Diseases","NB0","37887.4","204.1","37887.4","-18948.7","1.0016","6205","Yes"
"Eye & Appendage Diseases","NB1","33827.0","205.2","33826.9","-17120.9","1.0016","6235","Yes"
"Eye & Appendage Diseases","NB2","33661.4","206.2","33661.2","-17073.4","1.0016","3377","Yes"
"Eye & Appendage Diseases","NB3","33828.0","205.3","33827.8","-17111.8","1.0037","613","Yes"
"Eye & Appendage Diseases","NB4","33652.7","206.2","33652.2","-16726.0","1.1008","33","No"
"Eye & Appendage Diseases","NB5","32482.9","207.2","32474.9","-16237.5","1.0026","2664","Yes"
"Eye & Appendage Diseases","NB6","32209.7","207.4","32200.5","-16154.0","1.0024","2538","Yes"
"Eye & Appendage Diseases","NB7","32480.8","207.1","32473.1","-16232.5","1.0098","353","No"
"Eye & Appendage Diseases","NB8","32040.2","210.7","32026.5","-15743.8","1.0064","757","Yes"
