"disease","disease_label","prior","prior_spec","phi_mean","phi_median","phi_sd","phi_q025","phi_q975","beta_age_mean","beta_age_sd","sigma_rw_mean","sigma_rw_sd","looic","looic_se","max_rhat","min_n_eff"
"glaucoma","Glaucoma","baseline","phi ~ normal(0, 10);",2.735,2.732,0.125,2.5,2.987,0.5929,0.0094,0.4159,0.0307,14081.2,198,1.0022,1904
"glaucoma","Glaucoma","tight_hn","phi ~ normal(0, 3);",2.731,2.73,0.122,2.501,2.975,0.5929,0.0092,0.4166,0.0298,14080.5,198,1.0021,2481
"glaucoma","Glaucoma","gamma_wide","phi ~ gamma(2, 0.1);",2.74,2.739,0.123,2.508,2.985,0.593,0.0093,0.4154,0.0298,14080.5,198,1.0022,2227
"glaucoma","Glaucoma","exponential","phi ~ exponential(0.1);",2.735,2.732,0.124,2.501,2.987,0.593,0.0093,0.417,0.0303,14079.7,197.9,1.0033,2268
"glaucoma","Glaucoma","half_cauchy","phi ~ cauchy(0, 5);",2.734,2.731,0.122,2.501,2.981,0.593,0.0093,0.416,0.0302,14079.8,198,1.0025,2229
"retina","Retinopathy","baseline","phi ~ normal(0, 10);",2.7,2.7,0.087,2.532,2.871,0.4945,0.0078,0.4202,0.0276,24942.6,222.1,1.0024,2272
"retina","Retinopathy","tight_hn","phi ~ normal(0, 3);",2.698,2.697,0.086,2.533,2.873,0.4945,0.0078,0.4201,0.0273,24943.5,222.1,1.0023,2563
"retina","Retinopathy","gamma_wide","phi ~ gamma(2, 0.1);",2.703,2.703,0.087,2.532,2.875,0.4945,0.0077,0.42,0.0273,24942.6,222,1.0021,2195
"retina","Retinopathy","exponential","phi ~ exponential(0.1);",2.7,2.699,0.088,2.531,2.875,0.4945,0.0075,0.4195,0.0273,24942.9,222,1.0029,2346
"retina","Retinopathy","half_cauchy","phi ~ cauchy(0, 5);",2.7,2.699,0.087,2.533,2.875,0.4944,0.0077,0.4207,0.0271,24941.4,222.1,1.0051,2337
"eye","Eye & Appendage Diseases","baseline","phi ~ normal(0, 10);",3.476,3.474,0.101,3.282,3.681,0.5407,0.0059,0.3287,0.0185,32483.7,207.2,1.0025,3002
"eye","Eye & Appendage Diseases","tight_hn","phi ~ normal(0, 3);",3.472,3.47,0.101,3.28,3.676,0.5406,0.0058,0.3292,0.0184,32484.4,207.2,1.0031,2481
"eye","Eye & Appendage Diseases","gamma_wide","phi ~ gamma(2, 0.1);",3.478,3.479,0.101,3.281,3.683,0.5407,0.0058,0.3288,0.0187,32483.3,207.2,1.003,3051
"eye","Eye & Appendage Diseases","exponential","phi ~ exponential(0.1);",3.475,3.474,0.101,3.284,3.674,0.5406,0.0058,0.3295,0.0184,32483.7,207.2,1.0024,2922
"eye","Eye & Appendage Diseases","half_cauchy","phi ~ cauchy(0, 5);",3.473,3.472,0.103,3.271,3.679,0.5406,0.0057,0.3289,0.0187,32483.4,207.1,1.0022,2789
